Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2016-11-22,0.9,0.1,10.0,0.9,0.91,4.67,1.01,0.86,1.0,96020.0,89316.0,5000.0
2016-11-21,1.0,0.09,9.89,0.99,1.0,5.19,1.01,0.9,0.91,115228.0,110963.0,5000.0
2016-11-18,0.91,0.01,1.087,0.9,0.91,4.72,0.95,0.9,0.92,46455.0,42729.0,5000.0
2016-11-17,0.92,0.08,9.524,0.91,0.92,4.77,0.92,0.84,0.84,27861.0,24288.0,5000.0
2016-11-16,0.84,0.02,2.439,0.83,0.84,4.36,0.86,0.81,0.82,20305.0,17033.0,5000.0
2016-11-15,0.82,0.01,1.205,0.81,0.82,4.26,0.83,0.81,0.83,4890.0,4018.0,5000.0
2016-11-14,0.83,0.0,0.0,0.81,0.83,4.31,0.84,0.82,0.83,8645.0,7156.0,5000.0
2016-11-11,0.83,0.02,2.469,0.82,0.83,4.31,0.84,0.8,0.81,17010.0,13900.0,5000.0
2016-11-10,0.81,0.05,6.579,0.81,0.82,4.2,0.83,0.76,0.76,27550.0,22218.0,5000.0
2016-11-09,0.76,0.01,1.299,0.75,0.76,3.94,0.77,0.74,0.77,18380.0,13877.0,5000.0
2016-11-08,0.77,0.0,0.0,0.76,0.77,4.0,0.78,0.76,0.77,5895.0,4490.0,5000.0
2016-11-07,0.77,0.01,1.316,0.76,0.77,4.0,0.77,0.74,0.76,6770.0,5106.0,5000.0
2016-11-04,0.76,0.0,0.0,0.75,0.76,3.94,0.77,0.74,0.76,9325.0,7030.0,5000.0
2016-11-03,0.76,0.0,0.0,0.75,0.76,3.94,0.76,0.73,0.76,14646.0,10913.0,5000.0
2016-11-02,0.76,0.01,1.299,0.76,0.77,3.94,0.78,0.76,0.77,6900.0,5267.0,5000.0
2016-11-01,0.77,0.03,4.054,0.76,0.78,4.0,0.78,0.74,0.74,8925.0,6774.0,5000.0
2016-10-31,0.74,0.0,0.0,0.73,0.74,3.84,0.74,0.73,0.74,3005.0,2200.0,5000.0
2016-10-28,0.74,0.0,0.0,0.72,0.74,3.84,0.74,0.71,0.74,6405.0,4657.0,5000.0
2016-10-27,0.74,0.0,0.0,0.74,0.75,3.84,0.74,0.73,0.74,5810.0,4267.0,5000.0
2016-10-26,0.74,0.0,0.0,0.73,0.74,3.84,0.74,0.73,0.74,4530.0,3334.0,5000.0
2016-10-25,0.74,0.01,1.333,0.74,0.75,3.84,0.75,0.73,0.75,13660.0,10087.0,5000.0
2016-10-24,0.75,0.0,0.0,0.73,0.75,3.89,0.78,0.73,0.75,17095.0,12793.0,5000.0
2016-10-21,0.75,0.0,0.0,,,3.89,,,0.75,0.0,0.0,5000.0
2016-10-20,0.75,0.0,0.0,0.74,0.75,3.89,0.76,0.73,0.75,12005.0,8963.0,5000.0
2016-10-19,0.75,0.01,1.316,0.75,0.76,3.89,0.76,0.74,0.76,32075.0,24060.0,5000.0
2016-10-18,0.76,0.01,1.333,0.75,0.76,3.94,0.77,0.74,0.75,24375.0,18530.0,5000.0
2016-10-17,0.75,0.02,2.597,0.73,0.76,3.89,0.77,0.72,0.77,38470.0,28809.0,5000.0
2016-10-14,0.77,0.0,0.0,0.76,0.77,4.0,0.79,0.75,0.77,27635.0,21373.0,5000.0
2016-10-13,0.77,0.03,3.75,0.77,0.78,4.0,0.8,0.74,0.8,36485.0,28341.0,5000.0
2016-10-12,0.8,0.02,2.439,0.79,0.8,4.15,0.82,0.78,0.82,54430.0,43659.0,5000.0
2016-10-11,0.82,0.01,1.205,0.82,0.83,4.26,0.84,0.81,0.83,29310.0,24259.0,5000.0
2016-10-07,0.83,0.0,0.0,0.82,0.83,4.31,0.84,0.81,0.83,9515.0,7874.0,5000.0
2016-10-06,0.83,0.01,1.19,0.82,0.83,4.31,0.84,0.81,0.84,16525.0,13549.0,5000.0
2016-10-05,0.84,0.01,1.205,0.83,0.84,4.36,0.85,0.83,0.83,15405.0,12833.0,5000.0
2016-10-04,0.83,0.01,1.19,0.83,0.84,4.31,0.85,0.83,0.84,10465.0,8763.0,5000.0
2016-10-03,0.84,0.02,2.439,0.83,0.84,4.36,0.84,0.82,0.82,9911.0,8252.0,5000.0
2016-09-30,0.82,0.02,2.381,0.82,0.83,4.26,0.85,0.82,0.84,32475.0,27104.0,5000.0
2016-09-29,0.84,0.01,1.176,0.83,0.84,4.36,0.85,0.83,0.85,10660.0,8976.0,5000.0
2016-09-28,0.85,0.0,0.0,0.84,0.85,4.41,0.86,0.84,0.85,26785.0,22859.0,5000.0
2016-09-27,0.85,0.03,3.409,0.84,0.85,4.41,0.91,0.83,0.88,51400.0,45022.0,5000.0
2016-09-26,0.88,0.05,6.024,0.87,0.88,4.57,0.9,0.82,0.83,85959.0,73570.0,5000.0
2016-09-23,0.83,0.0,0.0,0.83,0.84,4.31,0.84,0.82,0.83,5965.0,4964.0,5000.0
2016-09-22,0.83,0.01,1.22,0.82,0.83,4.31,0.85,0.81,0.82,22507.0,18573.0,5000.0
2016-09-21,0.82,0.07,7.865,0.82,0.83,4.26,0.9,0.81,0.89,44890.0,37682.0,5000.0
2016-09-20,0.89,0.02,2.198,0.88,0.89,4.62,0.91,0.79,0.91,88595.0,74685.0,5000.0
2016-09-19,0.91,0.1,12.346,0.89,0.9,4.72,0.93,0.8,0.81,95269.0,84396.0,5000.0
2016-09-15,0.81,0.02,2.41,0.8,0.81,4.2,0.82,0.75,0.83,81215.0,64674.0,5000.0
2016-09-14,0.83,0.14,20.29,0.82,0.83,4.31,0.83,0.69,0.69,114748.0,89177.0,5000.0
2016-09-13,0.69,0.03,4.545,0.68,0.69,3.58,0.69,0.66,0.66,16270.0,11059.0,5000.0
2016-09-12,0.66,0.01,1.538,0.65,0.66,3.43,0.68,0.64,0.65,43415.0,28306.0,5000.0
2016-09-09,0.65,0.01,1.515,0.65,0.66,3.37,0.66,0.64,0.66,48730.0,31618.0,5000.0
2016-09-08,0.66,0.02,3.125,0.65,0.66,3.43,0.66,0.64,0.64,81291.0,52606.0,5000.0
2016-09-07,0.64,0.01,1.538,0.64,0.65,3.32,0.66,0.63,0.65,47510.0,30689.0,5000.0
2016-09-06,0.65,0.03,4.839,0.65,0.66,3.37,0.67,0.63,0.62,58215.0,38107.0,5000.0
2016-09-05,0.62,0.0,0.0,0.61,0.62,3.22,0.63,0.61,0.62,76075.0,47021.0,5000.0
2016-09-02,0.62,0.0,0.0,0.61,0.62,3.22,0.62,0.61,0.62,30205.0,18686.0,5000.0
2016-09-01,0.62,0.0,0.0,0.61,0.62,3.22,0.62,0.61,0.62,41930.0,25586.0,5000.0
2016-08-31,0.62,0.01,1.639,0.61,0.62,3.22,0.63,0.6,0.61,41880.0,25896.0,5000.0
2016-08-30,0.61,0.01,1.667,0.6,0.61,3.17,0.61,0.59,0.6,52135.0,31312.0,5000.0
2016-08-29,0.6,0.06,11.111,0.59,0.6,3.11,0.6,0.54,0.54,37145.0,21218.0,5000.0
2016-08-26,0.54,0.02,3.846,0.53,0.55,2.8,0.55,0.51,0.52,31971.0,17245.0,5000.0
2016-08-25,0.52,0.01,1.961,0.51,0.52,115.56,0.53,0.5,0.51,12555.0,6498.0,5000.0
2016-08-24,0.51,0.03,6.25,0.5,0.51,113.33,0.54,0.475,0.48,15035.0,7680.0,5000.0
2016-08-23,0.48,0.015,3.03,0.485,0.49,106.67,0.49,0.48,0.495,5370.0,2601.0,5000.0
2016-08-22,0.495,0.005,1.0,0.495,0.5,110.0,0.5,0.49,0.5,2140.0,1066.0,5000.0
2016-08-19,0.5,0.01,1.961,0.495,0.5,111.11,0.52,0.495,0.51,4205.0,2123.0,5000.0
2016-08-18,0.51,0.015,3.03,0.5,0.51,113.33,0.51,0.455,0.495,9610.0,4701.0,5000.0
2016-08-17,0.495,0.0,0.0,0.49,0.495,110.0,0.5,0.49,0.495,3916.0,1950.0,5000.0
2016-08-16,0.495,0.015,2.941,0.49,0.5,110.0,0.51,0.49,0.51,10370.0,5174.0,5000.0
2016-08-15,0.51,0.02,3.774,0.5,0.51,113.33,0.53,0.5,0.53,9535.0,4920.0,5000.0
2016-08-12,0.53,0.03,6.0,0.53,0.54,117.78,0.54,0.5,0.5,16460.0,8626.0,5000.0
2016-08-11,0.5,0.01,1.961,0.5,0.51,111.11,0.52,0.49,0.51,9540.0,4804.0,5000.0
2016-08-10,0.51,0.025,5.155,0.5,0.52,113.33,0.52,0.485,0.485,30245.0,15227.0,5000.0
2016-08-09,0.485,0.01,2.105,0.475,0.485,107.78,0.485,0.465,0.475,8929.0,4278.0,5000.0
2016-08-08,0.475,0.01,2.151,0.47,0.48,105.56,0.48,0.445,0.465,9605.0,4409.0,5000.0
2016-08-05,0.465,0.005,1.087,0.455,0.465,103.33,0.47,0.45,0.46,7610.0,3491.0,5000.0
2016-08-04,0.46,0.005,1.099,0.46,0.465,102.22,0.495,0.445,0.455,43690.0,20337.0,5000.0
2016-08-03,0.455,0.05,12.346,0.45,0.455,101.11,0.455,0.4,0.405,32240.0,14068.0,5000.0
2016-08-02,0.405,0.0,0.0,,,90.0,,,0.405,0.0,0.0,5000.0
2016-08-01,0.405,0.01,2.532,0.395,0.405,90.0,0.41,0.39,0.395,5250.0,2095.0,5000.0
2016-07-29,0.395,0.005,1.25,0.395,0.4,87.78,0.4,0.385,0.4,7168.0,2847.0,5000.0
2016-07-28,0.4,0.01,2.439,0.395,0.4,88.89,0.41,0.385,0.41,8975.0,3560.0,5000.0
2016-07-27,0.41,0.015,3.797,0.405,0.41,91.11,0.42,0.395,0.395,18960.0,7714.0,5000.0
2016-07-26,0.395,0.02,5.333,0.39,0.395,87.78,0.415,0.38,0.375,21085.0,8419.0,5000.0
2016-07-25,0.375,0.045,13.636,0.375,0.38,83.33,0.38,0.335,0.33,14875.0,5360.0,5000.0
2016-07-22,0.33,0.005,1.493,0.33,0.335,73.33,0.335,0.33,0.335,915.0,303.0,5000.0
2016-07-21,0.335,0.0,0.0,0.33,0.34,74.44,0.34,0.335,0.335,845.0,283.0,5000.0
2016-07-20,0.335,0.01,3.077,0.33,0.335,74.44,0.335,0.325,0.325,4436.0,1463.0,5000.0
2016-07-19,0.325,0.01,2.985,0.325,0.33,72.22,0.33,0.32,0.335,5185.0,1682.0,5000.0
2016-07-18,0.335,0.0,0.0,0.33,0.34,74.44,0.34,0.325,0.335,2715.0,904.0,5000.0
2016-07-15,0.335,0.01,3.077,0.335,0.34,74.44,0.355,0.335,0.325,10495.0,3606.0,5000.0
2016-07-14,0.325,0.015,4.412,0.315,0.33,72.22,0.34,0.32,0.34,3875.0,1259.0,5000.0
2016-07-13,0.34,0.005,1.449,0.335,0.34,75.56,0.345,0.34,0.345,340.0,116.0,5000.0
2016-07-12,0.345,0.0,0.0,0.34,0.345,76.67,0.345,0.34,0.345,405.0,138.0,5000.0
2016-07-11,0.345,0.005,1.471,0.34,0.345,76.67,0.35,0.34,0.34,1085.0,378.0,5000.0
2016-07-08,0.34,0.0,0.0,0.335,0.345,75.56,0.35,0.34,0.34,2560.0,874.0,5000.0
2016-07-07,0.34,0.01,2.857,0.34,0.345,75.56,0.355,0.335,0.35,1750.0,602.0,5000.0
2016-07-06,0.35,0.005,1.408,0.35,0.355,77.78,0.36,0.345,0.355,3045.0,1068.0,5000.0
2016-07-05,0.355,0.0,0.0,0.355,0.36,78.89,0.36,0.355,0.355,1255.0,446.0,5000.0
2016-07-04,0.355,0.005,1.389,0.355,0.36,78.89,0.365,0.355,0.36,865.0,312.0,5000.0
2016-06-30,0.36,0.0,0.0,0.36,0.37,80.0,0.37,0.36,0.36,895.0,326.0,5000.0
2016-06-29,0.36,0.005,1.37,0.355,0.365,80.0,0.365,0.355,0.365,3365.0,1217.0,5000.0
2016-06-28,0.365,0.005,1.389,0.365,0.37,81.11,0.38,0.365,0.36,1110.0,411.0,5000.0
2016-06-27,0.36,0.005,1.37,0.36,0.365,80.0,0.365,0.36,0.365,595.0,215.0,5000.0
2016-06-24,0.365,0.005,1.351,0.365,0.37,81.11,0.365,0.36,0.37,2050.0,742.0,5000.0
2016-06-23,0.37,0.0,0.0,0.37,0.375,82.22,0.375,0.37,0.37,655.0,243.0,5000.0
2016-06-22,0.37,0.0,0.0,0.37,0.375,82.22,0.375,0.37,0.37,2085.0,772.0,5000.0
2016-06-21,0.37,0.005,1.333,0.37,0.375,82.22,0.375,0.37,0.375,685.0,254.0,5000.0
2016-06-20,0.375,0.0,0.0,0.37,0.375,83.33,0.375,0.37,0.375,1555.0,576.0,5000.0
2016-06-17,0.375,0.005,1.316,0.37,0.375,83.33,0.39,0.37,0.38,4875.0,1820.0,5000.0
2016-06-16,0.38,0.005,1.333,0.375,0.38,84.44,0.405,0.365,0.375,8745.0,3376.0,5000.0
2016-06-15,0.375,0.0,0.0,0.365,0.375,83.33,0.375,0.365,0.375,1495.0,552.0,5000.0
2016-06-14,0.375,0.01,2.74,0.37,0.375,83.33,0.375,0.37,0.365,1935.0,717.0,5000.0
2016-06-13,0.365,0.005,1.351,0.36,0.365,81.11,0.375,0.36,0.37,2265.0,835.0,5000.0
2016-06-10,0.37,0.005,1.333,0.37,0.375,82.22,0.37,0.37,0.375,780.0,289.0,5000.0
2016-06-08,0.375,0.005,1.351,0.37,0.38,83.33,0.38,0.37,0.37,2975.0,1113.0,5000.0
2016-06-07,0.37,0.005,1.333,0.37,0.375,82.22,0.375,0.36,0.375,7830.0,2868.0,5000.0
2016-06-06,0.375,0.0,0.0,0.365,0.375,83.33,0.375,0.37,0.375,2210.0,821.0,5000.0
2016-06-03,0.375,0.005,1.351,0.37,0.375,83.33,0.375,0.37,0.37,1075.0,401.0,5000.0
2016-06-02,0.37,0.005,1.333,0.37,0.375,82.22,0.375,0.37,0.375,1225.0,455.0,5000.0
2016-06-01,0.375,0.005,1.351,0.37,0.375,83.33,0.375,0.37,0.37,425.0,158.0,5000.0
2016-05-31,0.37,0.0,0.0,0.365,0.37,82.22,0.37,0.37,0.37,4300.0,1591.0,5000.0
2016-05-30,0.37,0.0,0.0,0.37,0.375,82.22,0.37,0.365,0.37,550.0,203.0,5000.0
2016-05-27,0.37,0.0,0.0,0.37,0.375,82.22,0.375,0.37,0.37,580.0,216.0,5000.0
